StoreId,PlanogramDBKey,PlanogramName
5678,703100,Candy (Inline ADJ) 8ft x 54in SE
4633,703100,Candy (Inline ADJ) 8ft x 54in SE
6461,703100,Candy (Inline ADJ) 8ft x 54in SE
6523,703100,Candy (Inline ADJ) 8ft x 54in SE
